task_categories,text-classification,text-classification text2text-generation text-generation,time-series-forecasting,text-generation,reinforcement-learning text-generation question-answering,text-generation fill-mask,text-generation,text-generation,text-generation,question-answering,question-answering,text-classification token-classification question-answering,text2text-generation,text-generation fill-mask,other,translation token-classification text2text-generation text-retrieval text-generation text-classification feature-extraction question-answering,text-generation,question-answering,text-to-image image-to-text,image-to-text text-generation,question-answering,image-to-text,summarization question-answering text-generation text2text-generation,multiple-choice,automatic-speech-recognition,fill-mask text-generation,text-classification
question-answering,7.714375972747803,7.796982288360596,8.11528491973877,7.939209461212158,6.000476360321045,8.996278762817383,7.939209461212158,7.939209461212158,7.939209461212158,0.0,0.0,5.654626369476318,8.674750328063965,8.996278762817383,8.299123764038086,5.981132984161377,7.939209461212158,0.0,8.178194046020508,8.451955795288086,0.0,8.2813138961792,6.188757419586182,7.383147239685059,7.942434787750244,8.886298179626465,7.714375972747803
text-classification token-classification question-answering,5.92106294631958,6.601001739501953,8.309802055358887,8.133367538452148,6.6215996742248535,8.802970886230469,8.133367538452148,8.133367538452148,8.133367538452148,5.654626369476318,5.654626369476318,0.0,8.452877044677734,8.802970886230469,8.670494079589844,4.38402795791626,8.133367538452148,5.654626369476318,8.01253604888916,8.412482261657715,5.654626369476318,8.347949981689453,6.3901519775390625,7.727278232574463,8.161664962768555,8.743428230285645,5.92106294631958
text2text-generation,8.43641185760498,4.049254417419434,9.348688125610352,4.393923759460449,6.794870376586914,6.640147686004639,4.393923759460449,4.393923759460449,4.393923759460449,8.674750328063965,8.674750328063965,8.452877044677734,0.0,6.640147686004639,9.856019020080566,6.148956298828125,4.393923759460449,8.674750328063965,6.85658597946167,5.175591468811035,8.674750328063965,7.101810455322266,5.252954006195068,8.793584823608398,9.046568870544434,6.24669075012207,8.43641185760498
text-generation fill-mask,9.130529403686523,6.884920597076416,9.32496166229248,6.7407002449035645,7.889996528625488,0.0,6.7407002449035645,6.7407002449035645,6.7407002449035645,8.996278762817383,8.996278762817383,8.802970886230469,6.640147686004639,0.0,9.726339340209961,7.453934669494629,6.7407002449035645,8.996278762817383,6.739036560058594,6.0715107917785645,8.996278762817383,6.908929824829102,7.156942367553711,8.77133560180664,8.877885818481445,1.3649585247039795,9.130529403686523
other,8.80843448638916,8.636717796325684,8.3925142288208,9.53293514251709,8.885350227355957,9.726339340209961,9.53293514251709,9.53293514251709,9.53293514251709,8.299123764038086,8.299123764038086,8.670494079589844,9.856019020080566,9.726339340209961,0.0,7.851534843444824,9.53293514251709,8.299123764038086,8.417266845703125,9.162322044372559,8.299123764038086,8.73402214050293,8.610075950622559,7.671659469604492,8.87152099609375,9.703825950622559,8.80843448638916
translation token-classification text2text-generation text-retrieval text-generation text-classification feature-extraction question-answering,6.47622537612915,4.585570335388184,7.4098687171936035,6.556044101715088,5.320830821990967,7.453934669494629,6.556044101715088,6.556044101715088,6.556044101715088,5.981132984161377,5.981132984161377,4.38402795791626,6.148956298828125,7.453934669494629,7.851534843444824,0.0,6.556044101715088,5.981132984161377,6.551523208618164,6.610709190368652,5.981132984161377,7.02036714553833,4.2273383140563965,6.888352394104004,7.476131916046143,7.316376209259033,6.47622537612915
text-generation,7.560300827026367,4.594829082489014,8.789178848266602,0.0,6.073975086212158,6.7407002449035645,0.0,0.0,0.0,7.939209461212158,7.939209461212158,8.133367538452148,4.393923759460449,6.7407002449035645,9.53293514251709,6.556044101715088,0.0,7.939209461212158,7.275863170623779,4.714733600616455,7.939209461212158,7.380518913269043,5.62573766708374,8.426631927490234,8.458817481994629,6.223977088928223,7.560300827026367
question-answering,7.714375972747803,7.796982288360596,8.11528491973877,7.939209461212158,6.000476360321045,8.996278762817383,7.939209461212158,7.939209461212158,7.939209461212158,0.0,0.0,5.654626369476318,8.674750328063965,8.996278762817383,8.299123764038086,5.981132984161377,7.939209461212158,0.0,8.178194046020508,8.451955795288086,0.0,8.2813138961792,6.188757419586182,7.383147239685059,7.942434787750244,8.886298179626465,7.714375972747803
text-to-image image-to-text,8.108431816101074,6.586543560028076,8.251715660095215,7.275863170623779,7.721203327178955,6.739036560058594,7.275863170623779,7.275863170623779,7.275863170623779,8.178194046020508,8.178194046020508,8.01253604888916,6.85658597946167,6.739036560058594,8.417266845703125,6.551523208618164,7.275863170623779,8.178194046020508,0.0,3.7668848037719727,8.178194046020508,1.5820716619491577,6.765834331512451,7.7055230140686035,8.121845245361328,6.744338035583496,8.108431816101074
image-to-text text-generation,8.380539894104004,5.396292209625244,8.721195220947266,4.714733600616455,6.807994842529297,6.0715107917785645,4.714733600616455,4.714733600616455,4.714733600616455,8.451955795288086,8.451955795288086,8.412482261657715,5.175591468811035,6.0715107917785645,9.162322044372559,6.610709190368652,4.714733600616455,8.451955795288086,3.7668848037719727,0.0,8.451955795288086,3.9297356605529785,6.030074596405029,8.358488082885742,8.346626281738281,5.7795515060424805,8.380539894104004
question-answering,7.714375972747803,7.796982288360596,8.11528491973877,7.939209461212158,6.000476360321045,8.996278762817383,7.939209461212158,7.939209461212158,7.939209461212158,0.0,0.0,5.654626369476318,8.674750328063965,8.996278762817383,8.299123764038086,5.981132984161377,7.939209461212158,0.0,8.178194046020508,8.451955795288086,0.0,8.2813138961792,6.188757419586182,7.383147239685059,7.942434787750244,8.886298179626465,7.714375972747803
image-to-text,8.363383293151855,7.012317657470703,8.627676010131836,7.380518913269043,8.070744514465332,6.908929824829102,7.380518913269043,7.380518913269043,7.380518913269043,8.2813138961792,8.2813138961792,8.347949981689453,7.101810455322266,6.908929824829102,8.73402214050293,7.02036714553833,7.380518913269043,8.2813138961792,1.5820716619491577,3.9297356605529785,8.2813138961792,0.0,7.182818412780762,7.949915885925293,8.320107460021973,6.904594898223877,8.363383293151855
summarization question-answering text-generation text2text-generation,7.933553218841553,4.839840888977051,7.948898792266846,5.62573766708374,4.791575908660889,7.156942367553711,5.62573766708374,5.62573766708374,5.62573766708374,6.188757419586182,6.188757419586182,6.3901519775390625,5.252954006195068,7.156942367553711,8.610075950622559,4.2273383140563965,5.62573766708374,6.188757419586182,6.765834331512451,6.030074596405029,6.188757419586182,7.182818412780762,0.0,7.5669450759887695,8.19881534576416,6.899107933044434,7.933553218841553
multiple-choice,7.6613545417785645,7.834463596343994,7.987354755401611,8.426631927490234,7.9694671630859375,8.77133560180664,8.426631927490234,8.426631927490234,8.426631927490234,7.383147239685059,7.383147239685059,7.727278232574463,8.793584823608398,8.77133560180664,7.671659469604492,6.888352394104004,8.426631927490234,7.383147239685059,7.7055230140686035,8.358488082885742,7.383147239685059,7.949915885925293,7.5669450759887695,0.0,8.088709831237793,8.784794807434082,7.6613545417785645
automatic-speech-recognition,7.611985683441162,7.736959457397461,7.78141450881958,8.458817481994629,8.687532424926758,8.877885818481445,8.458817481994629,8.458817481994629,8.458817481994629,7.942434787750244,7.942434787750244,8.161664962768555,9.046568870544434,8.877885818481445,8.87152099609375,7.476131916046143,8.458817481994629,7.942434787750244,8.121845245361328,8.346626281738281,7.942434787750244,8.320107460021973,8.19881534576416,8.088709831237793,0.0,8.868812561035156,7.611985683441162
fill-mask text-generation,9.14696216583252,6.57982063293457,9.333276748657227,6.223977088928223,7.6219801902771,1.3649585247039795,6.223977088928223,6.223977088928223,6.223977088928223,8.886298179626465,8.886298179626465,8.743428230285645,6.24669075012207,1.3649585247039795,9.703825950622559,7.316376209259033,6.223977088928223,8.886298179626465,6.744338035583496,5.7795515060424805,8.886298179626465,6.904594898223877,6.899107933044434,8.784794807434082,8.868812561035156,0.0,9.14696216583252
text-classification,0.0,6.037288188934326,8.247495651245117,7.560300827026367,8.462762832641602,9.130529403686523,7.560300827026367,7.560300827026367,7.560300827026367,7.714375972747803,7.714375972747803,5.92106294631958,8.43641185760498,9.130529403686523,8.80843448638916,6.47622537612915,7.560300827026367,7.714375972747803,8.108431816101074,8.380539894104004,7.714375972747803,8.363383293151855,7.933553218841553,7.6613545417785645,7.611985683441162,9.14696216583252,0.0
